Sentence	Subjectivity	Positivity	Negativity
"In the meeting with the Egyptian journalists  Assad was also quoted as saying that the only way to solve the Syrian crisis is through ""dialogue with the opposition"" and that the ""door for dialogue is open """	1	3	1
Most Syrian opposition groups reject any talks with the regime  saying they will not accept anything less than Assad's departure from power and the dissolving of his regime's security agencies 	1	1	2
Abdul-Aziz al-Kheir and Ayas Ayyash were expected to take part in a conference Sunday in Damascus by some 20 Syrian groups that are calling for Assad to step down  But they disappeared Thursday along with a friend who had picked them up at Damascus International Airport  the group said 	1	1	3
Also Friday  the Britain-based Syrian Observatory for Human Rights said nearly 30 000 Syrians have been killed during the conflict 	1	1	4
The Observatory's count includes 20 935 civilians  1 153 army defectors fighting alongside the rebels  and 7 141 Syrian troops fighting for the Assad regime — which gives a total of 29 229  said the head of the group  Rami Abdul-Rahman 	1	1	2
The list is compiled from reports by witnesses and medical staff  he said  adding that he only includes those identified by name or whose death was authenticated by amateur video  The Syrian military rarely releases figures on troops killed 	1	1	3
Another Syrian opposition group  the Local Coordination Committees  put the overall death toll at 26 405  However  its count does not include Syrian troops killed in battle  The LCC relies on a network of activists in Syria to collect its information 	1	1	4
Iraq to check Syria-bound Iran flights for arms: Zebari	1	1	2
DUBAI (Reuters) - Iraq will ask Syria-bound Iranian planes passing through its airspace to land for random inspections after Washington said they could be ferrying arms to Damascus  the Iraqi foreign minister said in an interview 	3	1	3
We have informed Mrs Clinton (U S  Secretary of State Hillary Clinton) and U S  officials that the government plans to bring planes down and conduct random inspections  Zebari said in the interview published on Sunday 	3	1	3
He confirmed he was referring to Iranian planes 	2	1	2
Washington had already said it was asking Iraq about Iranian flights suspected of carrying arms to Syrian President Bashar al-Assad  a staunch Iranian ally fighting an 18-month-old revolt against his rule 	2	1	3
Iraq has said it would never allow any arms to pass through its airspace to either side in the conflict 	2	1	2
The government of Iraqi Prime Minister Nuri al-Maliki  a Shi'ite Muslim  is close to regional Shi'ite power Iran 	1	1	2
Iran is one of the main allies of Syrian President Bashar al-Assad  who follows an offshoot of Shi'ite Islam 	1	1	3
Zebari said the U S  officials had said any flights carrying weapons to Syrian would break U N  Security Council resolutions  and demanded Iraq stop them 	2	1	3
Washington had provided no specific intelligence of such flights  he added 	2	1	1
Iranian flights over Iraq had begun in March and stopped after Iraq asked that they be halted  the minister told the newspaper 	2	2	2
"They resumed again towards the end of July and they said these flights contain no weapons or hardware  and that they transport pilgrims  visitors and so on	2	2	2
311 iraq-check-syria-bound-iran-flights-arms-zebari-102318774 But to verify their shipments  we will ask these planes to land  he said "	2	2	2
He added Iraq had proposed holding another meeting of world powers on Syria as a follow up to the talks held in Geneva in June 	2	2	1
What we have proposed to (Russian Foreign Minister Sergei) Lavrov is perhaps there is a need to convene a 'Geneva 2' to activate mechanisms for implementing what has been agreed upon and not to reopen the discussions  he said 	3	3	1
The Geneva meeting agreed a transitional government should be set up in Syria  but the major powers were at odds over what part Assad might play in the process 	2	2	2
DUBLIN (Reuters) - Decisions taken by European Union leaders regarding Ireland's bank debt at a summit in June stand and will be implemented  the country's prime minister said after three EU finance ministers appeared to deal them a blow on Tuesday 	2	1	2
"The decision taken on June 29 was not a theory  it was not an aspiration	3	2	1
312 irish-pm-says-eu-leaders-pledge-bank-debt-095803580--business Those decisions stand  those decisions will be implemented  Enda Kenny told parliament on Wednesday "	2	1	1
Irish regulator says Facebook adopts majority of recommendations	2	2	1
DUBLIN (Reuters) - Facebook  the world's biggest social network  has fully implemented most of the recommendations made by Ireland's Data Protection Commissioner  the watchdog responsible for regulating its European and Irish operations said on Friday 	2	2	1
Ireland is the headquarters of Facebook's non-U S 	1	2	2
The Irish regulator said most of those instructions had been adopted  particularly in the area of better transparency and controls for the user  but progress still had to be made on a number of other items within the next month 	2	3	2
Israel quiet on Ahmadinejad as Yom Kippur descends	1	1	1
The Day or Atonement runs from Tuesday afternoon through to dusk on Wednesday  meaning there was no comment either on U S  President Barack Obama's address to the United Nations 	1	1	1
"Speaking in New York  Ahmadinejad said on Monday Israel had no roots in the Middle East and would be ""eliminated"" "	1	1	3
It was the latest piece of fiery rhetoric from the Iranian leader  who has regularly riled Israel and fueled concern that if the Islamic Republic one day obtained nuclear weapons it might turn them on the Jewish State 	3	1	3
Israel's ambassador to the United Nations denounced the comments but ministers and officials in Israel were silent 	1	1	1
There was also little mention of his words in the Israeli press on Tuesday  which was focused instead on domestic politics 	1	1	1
Instead  they scrutinize the utterances of Iranian Supreme Leader Ayatollah Ali Khamenei  who  they say  is the person responsible for crucial decision-making 	1	1	2
Speaking on Monday in Jerusalem  Israeli Deputy Prime Minister Dan Meridor said he had no intention of getting into a slanging match with Iranian officials  adding that Israel was used to being on the receiving end of incendiary rhetoric 	1	1	2
Israel has threatened military action against Iran unless it renounces its ambitious nuclear program  which Tehran says is purely for civilian purposes but which many countries in the West believe is designed at creating an Atomic bomb 	1	1	2
Obama told the United Nations General Assembly on Tuesday that time was running out to find a diplomatic solution to the Iranian nuclear issue 	1	1	2
The United States will do what we must to prevent Iran from obtaining a nuclear weapon  he added 	2	1	2
However  his statement represented no advance on the previous U S  position and he appeared to ignore Netanyahu's call for Washington to establish clear red lines for Iran 	2	1	2
The Israeli leader is due to fly to New York once Yom Kippur ends and will address the General Assembly on Thursday 	1	1	1
His office has said Obama declined a request to meet the U S  president  but the two were expected to speak by telephone 	2	1	1
As every year  Israel ground to a halt at the approach of Yom Kippur 	1	1	1
Radio and television went off the air  the national airport was shut and the streets emptied 	1	1	1
In 1973  a coalition of Arab states launched a surprise attack on Israel during the Jewish holy day  threatening to overwhelm the country 	1	1	2
Israel launched a massive counter-offensive before a ceasefire took hold 	1	1	2
Israeli budget rifts could lead to early polls	2	1	2
If Benjamin Netanyahu is unable to convince members of his coalition to back his budget for the coming year  he will be forced to bring elections currently slated for next October to early next year 	3	1	2
The Israeli officials say Netanyahu is expected to make a decision within two weeks 	2	1	1
They spoke on condition of anonymity because they were not authorized to discuss ongoing coalition deliberations 	2	1	2
Israeli governments rarely serve their full terms 	3	1	2
Netanyahu's Likud Party has said it's unclear whether the budget  which is expected to include deep cuts  would be passed 	2	1	3
Israeli electric car company CEO steps down	1	1	1
Shai Agassi leaves behind a company that has won widespread praise and attention for his dream of ending the world's dependence on oil  but which has struggled at times to carry out that vision 	3	3	2
The circumstances surrounding his departure were not immediately clear 	1	1	1
"In a statement Tuesday  company Chairman Idan Ofer said it had achieved its goals under Agassi and had reached a ""natural point"" for change "	3	2	1
Under Shai's leadership  we've successfully achieved our goals in the first chapter of Better Place  and we owe Shai our gratitude for turning his powerful vision into a reality  Ofer said 	4	4	1
It is almost five years to the day since Shai launched Better Place and a natural point in the company's evolution to realign for its second chapter and for the challenges and opportunities ahead 	3	3	1
The chief executive of Better Place's Australian business  Even Thornley  will take over 	1	1	1
Agassi  a former top executive at German software maker SAP  will remain on Better Place's board 	1	1	1
Better Place says it aims to wean the world off fossil fuel via a network of charging stations and infrastructure to power electric cars 	2	2	1
Through a partnership with Renault  Better Place is close to completing nationwide networks in Israel and Denmark 	1	1	1
For longer trips  its infrastructure includes changing stations that allow travelers to swap their batteries in a matter of minutes  avoiding the lengthy process of recharging 	1	2	1
But the company has burned through hundreds of millions of dollars  caused in part by a slow rollout of its network and reluctance by consumers to adopt electric cars 	2	1	3
The company says that despite the heavy startup costs  it remains on solid footing and is optimistic about the future 	2	3	1
After testing the system for several months  it recently began sales of its all-electric Renault Fluence model to the general public 	1	1	1
Israeli prime minister says it's getting 'late  very late' to stop the Iranian nuclear threat	2	1	2
UNITED NATIONS (AP) — Israeli prime minister says it's getting 'late  very late' to stop the Iranian nuclear threat 	2	1	2
Italy cruise ship disaster crew win seafaring award	1	2	4
"ROME (Reuters) - The crew of the Costa Concordia  the huge liner which capsized off the coast of Italy in January killing as many as 32 people  won the Lloyd's List ""Seafarer of the Year"" award for 2012  the ship's operator Costa Cruises said on Thursday "	2	2	4
The 'Seafarer of the Year' award recognises the competence  heroism and professionalism displayed by the sailors every day  Costa said in a statement 	3	3	1
Experts appointed by Italian judges to help an investigation into the accident also criticised a lack of preparation among crew members 	2	1	2
The 114 500 tonne Costa Concordia sank off the island of Giglio on January 13 after it came within metres of the shoreline and struck a rock which cut open its hull and caused it to capsize 	1	1	2
IUDs  implants urged for teen girls' birth control	1	1	2
CHICAGO (AP) — Teenage girls may prefer the pill  the patch or even wishful thinking  but their doctors should be recommending IUDs or hormonal implants — long-lasting and more effective birth control that you don't have to remember to use every time  the nation's leading gynecologists group said Thursday 	2	2	1
"The IUD and implants are safe and nearly 100 percent effective at preventing pregnancy  and should be ""first-line recommendations "" the American College of Obstetricians and Gynecologists said in updating its guidance for teens "	2	1	1
Both types of contraception are more invasive than the pill  requiring a doctor to put them in place  That  and cost  are probably why the pill is still the most popular form of contraception in the U S 	2	1	2
But birth control pills often must be taken at the very same time every day to be most potent  And forgetting to take even one can lead to pregnancy  which is why the pill is sometimes only 91 percent effective 	1	1	2
An IUD  or intrauterine device  is a small  T-shaped piece of plastic inserted in the uterus that can prevent pregnancy for up to 10 years  An implant is a matchstick-size plastic rod that releases hormones  It is placed under the skin of the upper arm and usually lasts three years 	1	1	1
"The new guidelines don't tell teens not to use other methods  but ""if your goal is to prevent a pregnancy  then using an implant or an IUD would be the best way to do this "" said Dr  Tina Raine-Bennett  head of the committee that wrote the recommendations "	2	1	1
The gynecologists group said condoms should still be used at all times because no other birth control method protects against AIDS and other sexually transmitted diseases 	2	1	2
While it may sound surprising that such invasive contraceptives are being endorsed for teenagers  43 percent of girls ages 15 to 19 have had sex  a government survey found  Most are using some kind of effective birth control  but only about 5 percent use the long-lasting devices  the gynecologists group said 	2	1	2
In 21 states  all teenagers can get contraceptives without parental permission  according to the Guttmacher Institute  which tracks laws affecting women's health  A few other states allow it under certain circumstances 	1	1	2
The IUD and implant cost hundreds of dollars  The new health reform law requires health insurance plans to cover birth control without co-payments  Also  some publicly funded health clinics offer birth control free or at a reduced cost 	1	2	2
The American Academy of Pediatrics has been more cautious and has not endorsed specific methods of birth control  but is updating its guidance  Some pediatricians have been reluctant to recommend IUDs for teens  partly because of concerns over infection risks  an older model was blamed for infertility 	1	1	2
Dr  Paula Braverman  a University of Cincinnati physician involved in updating the academy's position  said the gynecologists' advice does a good job of clarifying misconceptions about IUDs and implants 	1	2	1
An IUD called the Dalkon Shield that was sold in the 1970s was linked to dangerous and sometimes deadly infections  Newer IUDs have been found to be safe  and the gynecologists group said the risk of pelvic infections increases only slightly during the first three weeks after insertion 	1	1	3
"The ones on the market today are extremely safe  said Dr  Mary Fournier  an adolescent-medicine specialist at Chicago's Ann & Robert H  Lurie Children's Hospital  who praised the new recommendations  ""That is what everybody should be telling their patients """	1	2	1
She said she already recommends IUDs for her patients and is being trained in how to insert birth control implants 	1	2	1
Raine-Bennett  research director for women's health at Kaiser Permanente in Oakland  Calif   said she gets mixed reactions from her patients about both methods 	1	1	2
Some of them say  'Great! Something that I don't have to think about ' Others are  like  'Hmmm  something in my body?' It really varies  she said 	2	2	2
Doctors need to be sensitive to that and provide detailed information to dispel any myths and allow teens to make informed decisions  Raine-Bennett said 	2	2	1
Ivory Coast to scrap grinding subsidy  lift transport support	1	1	1
The move was announced at a board meeting of the Coffee and Cocoa Council (CCC) late on Friday during which the body also decided to increase a key transportation-reimbursement allowance at the heart of a row threatening reform of the sector 	1	1	1
"Exporters Cargill  Barry Callebaut  CEMOI and ADM  who process a portion of their cocoa domestically  all benefit from a reduced DUS (""droit unique de sortie"") tax - the main cocoa export tax - and stand to lose if the tax break is scrapped "	2	2	2
Rival exporters say the subsidy gives the grinders an unfair advantage and cost Ivory Coast 34 billion CFA francs in 2010 	2	1	2
Farmers argue that this lost tax money should have been reinvested in the sector 	2	1	2
The president of the (CCC) informed the board of directors of the government's decision to totally repeal the fiscal advantage given to cocoa grinders  a board member told Reuters  asking not to be named 	2	1	1
This decision takes effect starting with the next harvest and should allow everyone to work together on equal footing  he said 	2	1	1
The government introduced tax incentives for local grinders during the 1991/1992 cocoa season to encourage investment in the country  create jobs in the cocoa sector  and increase grinding capacity 	1	2	1
Initially meant to last five years and apply only to exports during the April to September mid-crop  the incentives are now granted year-round and are currently worth about 75 CFA francs per kilogram of cocoa 	1	1	1
As part of a sweeping reform of the cocoa sector  the government is aiming to locally grind half of its cocoa bean production by 2015 	2	1	1
Cocoa grinders have however said the incentives do not give them any special advantage and that removing them could hurt the local grinding industry and even push some to move plants to neighbouring Ghana  the world's second-biggest producer after Ivory Coast 	1	1	1
The new cocoa season opens next month under a government-led scheme that uses the proceeds from forward-selling of the crop to guarantee prices for farmers and encourage them to reinvest in their plantations 	1	1	1
The Coffee and Cocoa Council (CCC) is due within days to set a farmgate price  as well as a scale of cost reimbursement for exporters  including handling costs incurred to get the beans from farm to port 	1	1	1
The CCC has now informally suggested an increased allowance of 70 CFA francs per kg  but exporters have demanded an increase to 94 2 francs 	1	1	1
The transport and collection cost   was raised from 70 francs to 80 francs  the CCC official said 	2	1	1
The board of directors decided on this increase to avoid a blockage in October   This is the maximum we can do for them 	2	1	1
Ivory Coast sees 9 pct GDP growth in 2013	1	2	1
ABIDJAN (Reuters) - Ivory Coast's economy will grow by 8 6 percent in 2012 and 9 percent in 2013  government spokesman Bruno Kone said on Tuesday following a cabinet meeting 	1	2	1
The West African state's economy was previously expected to grow by 8 1 percent in 2012  its first full year since a brief civil war ground business to a temporary halt 	1	2	2
Kone said the government would propose a 2013 budget of 3 814 billion CFA francs  up 17 percent from 2012  on the back of the robust growth projections 	2	2	1
Jack Johnson Breaks His No-Social-Media Rule for Voter Registration Day	1	1	2
"Singer-songwriter Jack Johnson doesn't consider himself a tech-savvy guy -- in fact  he calls himself ""an old fart"" who doesn't tweet or even go on Facebook  but on Tuesday he will join the largest social media-driven voter registration campaign to mark the inaugural National Voter Registration Day "	2	2	2
"Johnson  along with more than 200 celebrities from Stephen Colbert to 50 Cent  will be sending tweets and posting Facebook updates to encourage people to register  Each message will also include a photo of the celebrity holding up a clipboard that says ""Register to Vote """	1	2	1
The campaign is run by voter registration organization HeadCount 	1	1	1
"HeadCount comes to our shows and volunteers walk around with clipboards to get people to sign up to vote  It's amazing to look at the numbers and see the impact it can have on registration  Jack Johnson told Mashable in a phone interview  ""I'm looking forward to seeing how it translates to the Internet """	2	2	1
HeadCount says that registering this year is crucial because many young voters who first cast a Presidential ballot in 2008 might be in for a surprise when they head to the polls this year  A recent survey found that seven out of 10 young people have moved in the past four years  according to the organization  and 43% of those potential voters haven't updated their voter registration since 	1	1	2
The campaign will also happen offline in more than 30 U S  cities at locations such as transportation centers  retail stores and concerts 	1	1	1
Johnson  who supports a number of non-profit organizations  says he is thrilled to participate in a movement that will influence a large amount of potential voters 	2	2	1
"I've always been grateful to the Internet -- without it  my music wouldn't have stood a chance  Johnson said  ""Back when I got started  people were learning to burn CDs and that was great because it allowed my album to spread even though it was in limited distribution  The web can be very powerful """	2	2	1
"Although he said he would make an exception to support the cause  he's not as active on Twitter and Facebook as his fellow music contemporaries: ""It works out great for some artists  but when I think back on my favorite artists such as Bob Marley  I can't picture him tweeting  I guess I keep it a little more romantic and mysterious that way """	2	2	1
"Johnson's Twitter account ( JackJohnson) is run by his management team  but on Tuesday  he will get more involved  When not rallying around the cause  Johnson says he is taking time now to ""really live life"" and gear up for a new album "	2	2	1
"Right now  I'm writing songs and recording sometime in the near future  he said  ""It's a little bit of an inhale  exhale thing -- I want to take enough time to read books and take in life  rather than just putting things out all at once """	2	2	2
Other musicians participating in HeadCount's social media campaign include Dave Matthews  John Legend and Reba McIntyre 	1	1	1
The deadline to register to vote in some states is as early as October 6 	1	1	1
TOKYO (AP) — Japan posted a $9 6 billion trade deficit for August as shipments to Europe and Asian countries sank  further undermining hopes for an export-driven revival in the world's third-biggest economy 	2	1	3
The 754 1 billion yen ($9 6 billion) deficit in August was not much smaller than the $9 9 billion deficit reported a year earlier  the Finance Ministry reported Thursday 	1	1	2
Exports in August totaled 5 05 trillion yen ($64 33 billion)  down 5 8 percent from a year earlier  while imports fell 5 4 percent to 5 8 trillion yen ($73 9 billion) 	1	1	2
The strong Japanese yen has bit into exports while demand has evaporated in crisis-stricken Europe 	2	1	2
Exports and industrial production are expected to remain relatively weak for the time being  the Bank of Japan said in its monthly report  released Thursday 	2	1	2
Japan has eked out small trade surpluses in some months this year but reported a record annual trade deficit for the fiscal year that ended in March 	1	2	2
Even before a recent territorial dispute flared  sparking anti-Japanese riots across China  exports were weakening 	2	1	3
The central bank's bond-buying program is meant to encourage borrowing and spending and make Japan's exports more competitive  while also exerting downward pressure on interest rates and on the yen 	1	2	1
"The central bank acknowledged that Japan's economic rebound had stalled  but predicted it would return to a ""moderate"" recovery path in the longer term "	2	2	1
Its report cited resilient domestic demand thanks to reconstruction in northeastern regions devastated by a March 2011 tsunami and earthquake and signs of quickening activity in the housing sector 	2	2	1
Central banks already have pushed short-term rates nearly as low as possible 	1	1	1
Japan Tsunami Debris Turns Up in Hawaii	1	1	3
A barnacle-covered seafood storage bin has been identified as the first piece of debris to arrive in Hawaii from the 2011 Japanese tsunami 	1	1	2
The blue cubed bin  about 4 feet (1 2 meters) on each side  was spotted floating off the coast of Waimanalo  Oahu  last week and was towed ashore by marine officials  according to a statement from Hawaii's Department of Land and Natural Resources (DLNR) 	2	1	2
Officials said the plastic container belongs to Japanese seafood company Y K  Suisan  Co   Ltd   based in the Miyagi prefecture  a region hit hard by the earthquake-triggered tsunami 	2	1	3
As the disaster also set off a nuclear crisis with a partial meltdown at Japan's Fukushima power plant  health officials tested the bin for radiation but did not find any abnormal levels 	2	1	3
The bin was housing gooseneck barnacles and crabs that typically live on floating debris in the open ocean 	1	2	2
A few dead birds also were found inside the container 	1	1	2
Seventy percent of this debris is believed to have sunk offshore  but no one knows how much of the remaining 1 5 million tons are still floating in the Pacific Ocean 	2	1	3
A handful of these lost parts have already turned up on or near the west coast of North America  from a small boat that washed up on a remote island in British Columbia to a large Japanese fishing ship that officials had to sink off the coast of Alaska 	1	1	2
PARIS (Reuters) - Argos-Shimano  a team with a Japanese co-sponsor and rider  withdrew from cycling's Tour of Beijing on Wednesday amid tensions between Japan and China over disputed islands in the South China Sea 	1	1	2
Global Cycling Promotion and the local organising committee of the Tour of Beijing discussed with Team Argos-Shimano the option of not participating in the Tour of Beijing  the event's organizers said in a statement 	1	1	1
Due to the current circumstances  the team accepted to withdraw from the race 	1	1	1
The Tour of Beijing would be held as scheduled from October 9-13  the International Cycling Union (UCI) said 	1	1	1
Of course the local organising committee and Global Cycling Promotion are closely following the evolution of the situation 	2	1	1
Sino-Japanese relations deteriorated sharply this month after Japan bought the isolated East China Sea islands  called Senkaku in Japan and Diaoyu in China  from their private owner  sparking protests across China 	1	1	2
FLORHAM PARK  N J  (AP) — Darrelle Revis is back in action for the New York Jets 	1	2	1
And  as far as Revis is concerned  there's no doubt whether he'll be on the field against the Dolphins in Miami 	2	3	1
I'm playing  Revis said after practice 	2	3	1
The doctors cleared me  so I'll be playing Sunday 	2	3	1
"He has no more restrictions  and just to show how ready he is  Revis jokingly added: ""I can bang my head on a wall if I want to """	2	2	2
If it's not the final hurdle  I don't want to be saying something that isn't true  Ryan said 	3	3	1
Hopefully he'll play  but I guess we'll see 	3	3	1
Revis practiced fully Thursday after passing all required tests 	1	2	1
He needed to be cleared by the team physician and an independent neurologist to participate in contact drills 	1	2	1
Revis was injured Sept  9 against Buffalo when he was accidentally kicked in the head by teammate Bart Scott while attempting a tackle 	1	1	2
The cornerback said he didn't need to be re-evaluated after practice anymore since he was cleared medically  so barring a setback  Revis will be back in the Jets' secondary on Sunday 	2	2	1
I think you feel good when you have the best player on the field  Ryan said 	3	3	1
"That can't hurt you	3	2	1
326 jets-revis-cleared-says-im-playing-miami-223701532--nfl     There's only one Darrelle Revis	1	1	1
326 jets-revis-cleared-says-im-playing-miami-223701532--nfl I know I feel great about it	3	3	1 
326 jets-revis-cleared-says-im-playing-miami-223701532--nfl It's hard not to smile if he's out there	3	3	1
326 jets-revis-cleared-says-im-playing-miami-223701532--nfl You feel great as a playcaller "	3	3	1
And it comes at a good time for the Jets (1-1)  who take on the AFC East-rival Dolphins (1-1) in a game with some early importance 	3	3	1
This is a must-win for us  Revis said 	3	3	1
"We need this win	3	3	1
326 jets-revis-cleared-says-im-playing-miami-223701532--nfl The expectations are high for us to go down there and get a win Sunday "	3	3	1
Revis didn't travel with the Steelers for the game in Pittsburgh after not being cleared for contact late last week 	1	1	1
"He said he felt as though he were in ""a fog"" right after he was injured  but progressively felt better "	2	2	2
"I actually got a couple jams in on press (coverage) and got physical with some guys	3	2	1
326 jets-revis-cleared-says-im-playing-miami-223701532--nfl Contact actually felt good today  hitting guys and guys were hitting me back "	3	3	1
Revis added that he felt pretty good Wednesday  too  and told the trainers that he didn't want to wear the red non-contact jersey in practice 	3	3	1
His presence will be a big boost to the Jets' defense  which received solid play from Kyle Wilson in his place  but Revis is considered by many to be the best player in the league at his position 	3	4	1
I'm definitely happy that he's cleared for contact  Ryan said 	3	3	1
"Without question  I'm happy about that  for his sake	3	3	1
326 jets-revis-cleared-says-im-playing-miami-223701532--nfl He loves to play  but if he's healthy  I think that's the big thing	3	4	1
326 jets-revis-cleared-says-im-playing-miami-223701532--nfl As a coach  having probably  if he's not the premier defensive player in the league  he's certainly up there  so having him as a player  obviously  you're happy for that also "	3	3	1
Without Revis on the field  the Jets allowed Ben Roethlisberger to throw for 275 yards and two touchdowns 	1	1	2
He also had a passer rating of 125 1 	1	1	2
I'm just one guy  Revis said 	3	2	1
The challenge this week for the Jets will be defending do-it-all running back Reggie Bush  but having Revis in the lineup will help them try to shut down the Dolphins' receivers and force rookie Ryan Tannehill into making mistakes 	3	3	2
Having a special player like Darrelle  we ask him to do a lot of different things  Ryan said 	3	2	1
"A lot of times  we put him one-on-one with a guy  on a team's best receiver and roll coverage away from him	3	2	1
326 jets-revis-cleared-says-im-playing-miami-223701532--nfl He's just that kind of guy "	3	2	1
Tight end Dustin Keller (right hamstring) and safety Eric Smith (hip/knee) were upgraded Thursday to limited after not practicing Wednesday 	2	2	1
Keller injured his right hamstring in the Jets' second preseason game against Carolina  and then tweaked it again during practice last Wednesday 	1	1	2
We'll see how he goes through practice today  but it's much better than yesterday when he was out  Ryan said 	3	3	1
Hopefully  that is a sign that he'll play this week 	3	2	1
The team gives him one day off from practice each week to reduce wear and tear on his heel  which caused him to miss the end of last season with the Washington Redskins 	2	2	2
NOTES: Landry was called for a personal foul for a late hit last week and another for a horse-collar tackle  but Ryan enjoys the safety's aggressive style 	2	2	2
I love the fact he has a reputation as a huge hitter because he's clean  the coach said 	3	3	1
"There isn't anybody saying he's not a clean player	3	3	1
326 jets-revis-cleared-says-im-playing-miami-223701532--nfl He's a clean player	3	3	1
326 jets-revis-cleared-says-im-playing-miami-223701532--nfl He's a hitter "	3	3	1
Landry won't slow down or change the way he plays  either 	2	1	1
When I'm in the game  I'm not thinking about a penalty I'm about to have or anything like that  he said 	3	2	2
I'm just playing a play to win and do anything to help my team out 	3	3	1
    ST coordinator Mike Westhoff has said this will be his 30th and final year coaching in the NFL  and he hasn't reconsidered at any point so far 	2	2	1
I don't close doors  but I think I just made a decision that this would be enough and the time to maybe look at something else  Westhoff said 	3	2	1
"CONCORD  N H  - While railing against Mitt Romney's comment about the 47 percent of voters who consider themselves to be ""victims "" Vice President Joe Biden misstated the number of U S  troops remaining in Afghanistan by several hundred thousand Friday evening "	3	1	2
"By the way  those dependent people he refers to  those 47 percent  they include the 650 000 troops still left in Afghanistan who  because they are in combat  being shot at  injured  they do not have to pay any federal income tax on their salary	3	1	3
327 joe-biden-misstates-troop-size-afghanistan-021017152--abc-news-politics I don't call that dependency	4	1	1
327 joe-biden-misstates-troop-size-afghanistan-021017152--abc-news-politics I call that ingratitude to not recognize they are a part of that 47 percent  Biden said on the steps of the state house in Concord  N H "	3	1	2
Following the event  a Biden aide clarified Biden intended to say there are approximately 68 000 troops left in Afghanistan 	3	1	1
President Obama announced the temporary surge of troops in Afghanistan  which would include the deployment of 33 000 troops  two years ago 	1	1	1
Jones  Wainwright highlight 'Artists Den'	1	1	1
"NEW YORK (AP) — Singer Norah Jones performs in a former Brooklyn brass foundry near her home in the opening of a new season of PBS' ""Live From the Artists Den"" in two weeks "	1	1	1
The four-episode season will also feature Rufus Wainwright  the Wallflowers and Mayer Hawthorne 	1	1	1
The series specializes in filming artists in unusual settings 	2	1	1
Despite the short season  PBS says producers are already at work preparing another season for next year 	1	2	2
(AP) — A federal judge has lifted a ban on sales of Samsung Electronics Corp 's Galaxy 10 1 tablet computer 	1	2	1
U S  District Judge Lucy Koh ruled Monday the South Korean technology giant is now free to start selling the product in American stores 	1	2	1
The judge had previously banned U S  sales of the tablet pending the resolution of a sweeping patent trial between Apple Inc  and Samsung over vital technology used in smartphones and tablet computers 	2	1	2
But the jury found that Samsung's Galaxy 10 1 wasn't one of the offending products 	1	2	1
The judge scheduled a December hearing to consider Samsung's demand for a new trial 	1	1	1
NEW YORK (AP) — Viewers of Katie Couric's talk show were doubtless surprised on Monday when  during the discussion of eating disorders  Couric disclosed that she had had her own struggles with that cruel  sometimes deadly condition 	3	1	3
"But the bulk of the show was devoted to her guests  who included experts on the subject as well as its sufferers  notably singer and new ""X Factor"" judge Demi Lovato "	1	1	2
During the hour  Couric said little more about her experience  which she had never before made public 	1	1	1
"I kind of hesitated to even bring it up  she told The Associated Press after the taping  ""But I felt that if I expect people on my show to be honest  then  when relevant  I owe it to people watching to be honest myself "	1	2	1
"I wanted to focus on my guests  she said  ""while acknowledging one of the reasons this issue is so important to me: I went through it """	1	1	1
But in an exclusive interview with the AP  Couric  55  shared details about the illness that first plagued her as a senior at Yorktown High School in Arlington  Va 	2	1	3
It began  she said  when she learned she had been turned down by the college she most wanted to attend 	1	1	2
Couric was a likely candidate for an eating disorder 	1	1	2
"Like a lot of young women  I was struggling with my body image  she said  ""and feeling like I wasn't good enough or attractive enough or thin enough """	2	1	3
"She termed her figure at the time as ""curvy "" and not the cultural ideal  which she identified as ""five-foot-eight and weighing 115 pounds  It can be so difficult to embrace the body that you have if it doesn't fit with the ideal  Women get praised for being super-thin  so you keep striving to be that way """	3	1	3
"She said her disorder ""ebbed and flowed"" through the years "	3	1	3
"Some periods were worse than others  when I was binging and purging a lot  she said  ""I'd have a piece of gum that wasn't sugarless and then say  'Oh! I've been bad ' and then feel so terrible that I would eat and throw up  It was awful "	1	1	3
Couric attended the University of Virginia  then landed her first job at the ABC News bureau in Washington  D C  And even then  she was waging a battle with food 	1	1	3
"But since then  she said  ""I've learned how to have a much healthier relationship with food  and how to enjoy my life without obsessing about food """	1	3	1
"And it's not the first time Couric has let the public in on a personal ordeal  Her audience shared her pain from the death of her husband  Jay Monahan  of colon cancer in 1998  The tragedy led Couric  then a co-anchor of ""Today "" to become an advocate for colon cancer awareness and for colonoscopies  In 2000  she underwent a colonoscopy on the air "	2	2	4
"The educational aspect far outweighed any personal embarrassment I might have felt  she explained  ""I had just lost my husband at 42 to this No  2 cancer killer of men and women  I had a bully pulpit from which I could implore people to take steps that could potentially save their lives  It was a no-brainer """	3	2	4
"In the future  viewers of ""Katie"" can expect her to confide in them again when it feels right "	1	2	1
NAIROBI (Reuters) - Kenya's year-on-year inflation fell for the tenth straight month to 5 32 percent in September from 6 09 percent in the previous month  the statistics office said on Friday 	1	1	1
Kenya navy shells Somali town after rebels announce retreat	1	1	3
MOGADISHU (Reuters) - Kenyan warships shelled the southern Somali port of Kismayu overnight after al Qaeda-linked rebels said they had abandoned the city  residents said on Sunday 	1	1	3
Stunned by an assault by sea  air and ground forces late on Friday night  al Shabaab rebels fled the city that had been their key source of revenue  retreating to surrounding forests and towns 	3	1	3
